_id,aID,arcLength,condition,currStrokeNum,demo_dur,demo_seq,dev_mode,endStrokeTime,eventType,file_id,gameID,hitID,iterationName,phase,prompt,simplifyParam,startResponseTime,startStrokeTime,stim_url,svg,time,toy_type,toy_variant,trialNum,type,version,workerId
5e8fbaf634c2a86d15ef0404,3RWE2M8QWLAFSZK59KQJ5G8M136N03,36.61109401829515,depictive,4,30,BAAB,False,1586477814257.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477813737.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M179,174c0,1.50161 -1.41302,1.23906 -2,3c-3.63605,10.90814 10,-3.85614 10,-8c0,-2.56904 -9,-4.20253 -9,2",1586477814259.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbaf834c2a86d15ef0406,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,92.81817947386297,explanatory,18,30,BAAB,False,1586477815920.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477814112.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M173,357c-5.93934,-35.63602 8,-59.49121 8,-92",1586477815922.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbafa34c2a86d15ef0407,3RWE2M8QWLAFSZK59KQJ5G8M136N03,321.5674722415928,depictive,5,30,BAAB,False,1586477817718.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477815520.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M299,217c0,-31.36431 66.70343,-26.29657 82,-11c9.56794,9.56794 9.95393,21.81571 13,34c1.65857,6.63426 3.28047,23.5793 -1,30c-2.38712,3.58068 -10.18235,13.72745 -14,15c-15.18948,5.06316 -75.09285,4.62862 -80,-15c-1.74597,-6.98388 -6.4522,-49 3,-49",1586477817729.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbafb34c2a86d15ef0408,3RWE2M8QWLAFSZK59KQJ5G8M136N03,34.649039209907734,depictive,6,30,BAAB,False,1586477818561.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477818085.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M350,235c0,1.90472 -7.15315,9.84685 -6,11c3.63271,3.63271 14.10006,-11 -2,-11",1586477818562.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbafd34c2a86d15ef040a,3RWE2M8QWLAFSZK59KQJ5G8M136N03,110.86513051396376,depictive,7,30,BAAB,False,1586477820583.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477819392.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M270,260c0,-48.90667 25.449,-76 -41,-76",1586477820585.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbaff34c2a86d15ef040b,3RWE2M8QWLAFSZK59KQJ5G8M136N03,136.15030182565306,depictive,8,30,BAAB,False,1586477822528.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477821293.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M175,213c-3.60194,7.20388 -1,30.73073 -1,40c0,1 -0.70711,2.29289 0,3c5.59768,5.59768 79.22939,9 92,9",1586477822531.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbb0034c2a86d15ef040c,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,514.5621065032796,explanatory,19,30,BAAB,False,1586477823186.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477816868.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M150,266c52.83369,0 105.02608,-0.50326 157,-7c23.16532,-2.89567 45.52996,-5 69,-5c3.36738,0 4,0.54741 4,-3c0,-1 0.70711,-2.29289 0,-3c-3.99629,-3.99629 -7.89994,-13.89994 -13,-19c-5.62057,-5.62057 -34.46768,-2 -43,-2c-39.07057,0 -75.06541,9 -114,9c-19.99437,0 -39.81388,2 -60,2c-0.52714,0 -4.83914,-0.32173 -5,0c-3.92755,7.85509 -1.6362,29 6,29",1586477823207.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
5e8fbb0134c2a86d15ef040d,3RWE2M8QWLAFSZK59KQJ5G8M136N03,467.5595598304694,depictive,9,30,BAAB,False,1586477824963.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477823048.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M280,270c-10.6128,0 -26.70382,-8.14809 -37,-3c-63.54859,31.77429 -48.97222,153.16204 42,138c11.59454,-1.93242 19.95222,-9.95222 28,-18c9.59486,-9.59486 13.34228,-19.73823 15,-33c5.0867,-40.69363 5.21608,-56.85595 -31,-81c-19.08277,-12.72185 -41,-16.12071 -41,13",1586477824970.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbb0234c2a86d15ef040e,3RWE2M8QWLAFSZK59KQJ5G8M136N03,38.571443655765194,depictive,10,30,BAAB,False,1586477825644.0,stroke,gears_1_BAAB_30,3420-94c6faa4-2c3d-4f6f-a409-e9484a130847,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<coldep>Draw what this artifact <i>looks like</i> for the blue alien!</coldep>,10,1586477804188.0,1586477825258.0,https://causaldraw.s3.amazonaws.com/gears_1_BAAB_30.mp4,"M266,327c-4.0958,0 -11.23039,10.76961 -8,14c4.07835,4.07835 16.62436,-12 10,-12",1586477825645.0,gears,1,0,jspsych-cued-drawing,15,A4T4577P6JL6R
5e8fbb0334c2a86d15ef040f,3O6CYIULEH1LVF5ZZSVQQ69KA4EUW4,256.9953467854066,explanatory,20,30,BAAB,False,1586477826128.0,stroke,levers_1_BAAB_30,8311-fcc6caca-cdbd-4ff0-9415-77b90229a1f1,386T3MLZMRVR28Z7CGWYZZM62K6801,run1,draw,<colexp>Draw how this artifact <i>functions</i> for the red alien!</colexp>,10,1586477738006.0,1586477824381.0,https://causaldraw.s3.amazonaws.com/levers_1_BAAB_30.mp4,"M257,233c0,-16.94265 11.05786,-32.4394 19,-47c8.29813,-15.21323 23.67005,-57.67005 34,-68c8.77923,-8.77923 20.07443,24.2233 21,27c9.11046,27.33137 31,55.70769 31,85",1586477826132.0,levers,1,0,jspsych-cued-drawing,12,A36GTTPW17HUL1
